1,1,0.7275,0.27249999999999996
1,3,0.7275,0.27249999999999996
1,5,0.7275,0.27249999999999996
1,7,0.7275,0.27249999999999996
1,13,0.7275,0.27249999999999996
7,1,0.7225,0.27749999999999997
7,3,0.73,0.27
7,5,0.7275,0.2725
7,7,0.7275,0.2725
7,13,0.7275,0.2725
13,1,0.7075,0.2925
13,3,0.715,0.28500000000000003
13,5,0.7075,0.2925
13,7,0.7150000000000001,0.28500000000000003
13,13,0.72,0.28
17,1,0.7075,0.2925
17,3,0.715,0.28500000000000003
17,5,0.7075,0.2925
17,7,0.7150000000000001,0.28500000000000003
17,13,0.72,0.28
21,1,0.7050000000000001,0.29500000000000004
21,3,0.7125,0.2875
21,5,0.7124999999999999,0.2875
21,7,0.7150000000000001,0.28500000000000003
21,13,0.7175,0.2825
